Initial Proficiency (%),Session Duration (minutes),Improvement Rate (%),Total Days Required,Minutes Per Day,Target Proficiency (%)
55.21,40.66,0.3,115,0.35,90
4.11,59.42,0.95,91,0.65,90
17.21,12.26,0.17,431,0.03,90
57.88,28.57,0.2,161,0.18,90
79.59,57.5,0.2,54,1.06,90
59.57,18.61,0.13,243,0.08,90
24.89,47.38,0.59,110,0.43,90
24.27,18.66,0.24,280,0.07,90
76.4,41.8,0.16,83,0.5,90
58.34,22.18,0.15,206,0.11,90
73.42,53.07,0.24,71,0.75,90
51.39,17.35,0.14,275,0.06,90
62.25,55.1,0.35,81,0.68,90
65.18,23.77,0.14,180,0.13,90
74.45,45.11,0.19,81,0.56,90
63.96,27.28,0.16,159,0.17,90
22.65,46.27,0.6,113,0.41,90
72.57,42.81,0.2,90,0.48,90
38.99,22.97,0.23,219,0.1,90
12.91,45.8,0.66,116,0.39,90
29.8,23.34,0.27,221,0.11,90
44.46,18.52,0.17,266,0.07,90
42.52,26.89,0.26,185,0.15,90
3.69,59.23,0.95,91,0.65,90
31.07,14.55,0.17,353,0.04,90
68.39,21.24,0.11,194,0.11,90
23.77,21.98,0.28,238,0.09,90
11,57.96,0.86,92,0.63,90
13.12,17.6,0.25,302,0.06,90
59.64,10.31,0.07,438,0.02,90
76.24,34.85,0.14,100,0.35,90
10.35,22.38,0.33,239,0.09,90
75.12,48.63,0.2,74,0.66,90
38.76,49.72,0.51,101,0.49,90
46.2,45.01,0.4,109,0.41,90
50.91,25.94,0.21,185,0.14,90
72.22,50.56,0.23,76,0.67,90
14.99,18.67,0.26,284,0.07,90
62.76,25.5,0.16,173,0.15,90
26.3,43.3,0.53,120,0.36,90
42.84,14.59,0.14,340,0.04,90
44.07,28.76,0.27,172,0.17,90
77.46,29.26,0.11,115,0.25,90
3.56,14.32,0.23,376,0.04,90
44.17,57.29,0.53,86,0.67,90
22.9,25.03,0.32,209,0.12,90
49.07,14.54,0.12,332,0.04,90
64.19,31.21,0.19,139,0.22,90
50.04,50.77,0.42,95,0.53,90
42.23,54.72,0.53,91,0.6,90
32.77,25.04,0.28,204,0.12,90
70.03,20.18,0.1,199,0.1,90
35.1,52.28,0.57,98,0.53,90
17.91,54.02,0.74,98,0.55,90
78.05,48.68,0.18,68,0.72,90
76.24,34.09,0.14,102,0.33,90
32.4,13.04,0.15,393,0.03,90
22.11,14.22,0.18,368,0.04,90
31.52,31.14,0.36,165,0.19,90
1.02,56.34,0.93,96,0.59,90
69.7,53.6,0.27,75,0.71,90
35.86,21.75,0.23,233,0.09,90
10.97,27.44,0.41,195,0.14,90
50.31,46.24,0.38,104,0.44,90
70.32,10.18,0.05,391,0.03,90
43.95,17.34,0.16,285,0.06,90
35.74,34.21,0.37,149,0.23,90
74.39,14.42,0.06,254,0.06,90
2.36,22.36,0.36,241,0.09,90
48.14,25.05,0.22,194,0.13,90
62.61,19.75,0.12,223,0.09,90
76.42,26.18,0.1,132,0.2,90
67.54,59.64,0.32,70,0.85,90
32.29,16.83,0.19,304,0.06,90
1.99,17.67,0.29,305,0.06,90
22.78,17.07,0.22,306,0.06,90
63.85,27.67,0.17,157,0.18,90
20.68,47.73,0.63,110,0.43,90
62.98,41.95,0.26,105,0.4,90
64.23,26.07,0.16,166,0.16,90
33.59,55.74,0.62,92,0.61,90
64.63,30.53,0.18,141,0.22,90
68.3,50.6,0.27,82,0.62,90
64.08,23.53,0.14,185,0.13,90
13.91,22.09,0.32,241,0.09,90
76.2,50.5,0.2,69,0.73,90
7.32,37.73,0.58,142,0.27,90
66.89,32.75,0.18,128,0.26,90
31.03,18.48,0.21,278,0.07,90
75.21,20.53,0.08,175,0.12,90
37.29,34.05,0.36,149,0.23,90
3.8,31.66,0.51,170,0.19,90
37.18,14.59,0.15,346,0.04,90
66.23,35.03,0.2,121,0.29,90
42.03,42.23,0.41,118,0.36,90
54.8,46.57,0.35,101,0.46,90
45.95,55.14,0.5,89,0.62,90
51.58,54.14,0.44,88,0.62,90
10.35,55.87,0.83,96,0.58,90
71.81,51.38,0.24,76,0.68,90
63.27,30.47,0.19,144,0.21,90
12.04,10.85,0.16,491,0.02,90
13.24,25.9,0.37,205,0.13,90
24.99,32.3,0.4,162,0.2,90
48.63,35.67,0.31,136,0.26,90
31.01,48.26,0.55,107,0.45,90
70.66,51.45,0.25,77,0.67,90
18.28,14.34,0.2,368,0.04,90
77.81,42.43,0.16,78,0.54,90
48.29,54.18,0.47,90,0.6,90
63.42,24.86,0.15,176,0.14,90
11.46,24.76,0.37,215,0.12,90
19.82,29.2,0.39,180,0.16,90
30.56,41.55,0.48,124,0.34,90
40.2,41.55,0.41,121,0.34,90
35.15,43.93,0.47,116,0.38,90
38.56,23.2,0.24,217,0.11,90
55.4,48.43,0.36,97,0.5,90
46.01,18.24,0.16,269,0.07,90
19.52,24.56,0.33,214,0.11,90
30.43,51.16,0.59,101,0.51,90
60.12,14.41,0.1,313,0.05,90
76.48,19.71,0.08,176,0.11,90
67.45,25.53,0.14,163,0.16,90
9.18,41.08,0.62,130,0.32,90
61.42,35.1,0.23,127,0.28,90
15.82,15.07,0.21,351,0.04,90
27.03,35.56,0.43,146,0.24,90
5.98,48.86,0.77,110,0.44,90
50.8,50.7,0.42,95,0.53,90
35.61,21.23,0.23,239,0.09,90
28.12,26.7,0.32,194,0.14,90
33.62,43.22,0.48,118,0.37,90
62.79,41.51,0.26,106,0.39,90
18.48,32.21,0.44,164,0.2,90
64.45,59.55,0.35,73,0.82,90
72.32,33.26,0.15,116,0.29,90
24.77,25.32,0.32,206,0.12,90
11.74,51.47,0.76,104,0.49,90
24.7,23.58,0.3,221,0.11,90
50.69,16.49,0.14,291,0.06,90
20.13,50.04,0.67,105,0.48,90
31.79,38.55,0.44,133,0.29,90
33.46,27.17,0.3,188,0.14,90
37.88,30.46,0.32,166,0.18,90
49.28,25.18,0.21,192,0.13,90
51.26,36.9,0.3,130,0.28,90
51.7,52.85,0.43,91,0.58,90
66.39,43.88,0.25,97,0.45,90
74.18,30.14,0.13,122,0.25,90
72.24,10.56,0.05,364,0.03,90
10.66,31.35,0.47,170,0.18,90
43.97,21.35,0.2,231,0.09,90
14.39,14.35,0.2,370,0.04,90
79.07,37.31,0.13,84,0.44,90
32.78,12.14,0.14,421,0.03,90
39.31,53.79,0.54,94,0.57,90
19.98,31.56,0.42,167,0.19,90
10.12,10.97,0.16,486,0.02,90
24.73,14,0.18,372,0.04,90
35.66,29.92,0.32,170,0.18,90
4.23,11.4,0.18,472,0.02,90
9.8,31.27,0.47,171,0.18,90
26.17,19.9,0.24,261,0.08,90
49.84,48.37,0.4,100,0.48,90
70.4,51.59,0.25,78,0.66,90
77,39.91,0.15,85,0.47,90
66.51,37.61,0.21,112,0.34,90
17.43,19.63,0.27,269,0.07,90
26.24,38.94,0.48,134,0.29,90
65.51,13.77,0.08,310,0.04,90
60.22,59.58,0.39,76,0.78,90
54.68,59.07,0.45,80,0.74,90
26.35,10.32,0.13,503,0.02,90
1.21,44.5,0.73,122,0.36,90
38.39,19.23,0.2,262,0.07,90
68.77,10.76,0.06,379,0.03,90
52.75,28.14,0.22,169,0.17,90
46.61,39.41,0.35,124,0.32,90
43.06,50.05,0.47,99,0.51,90
56.93,10.55,0.08,437,0.02,90
18.06,32.28,0.44,164,0.2,90
42.49,31.8,0.3,156,0.2,90
14.68,12.63,0.18,420,0.03,90
42.39,18.29,0.18,272,0.07,90
18.62,35.66,0.48,148,0.24,90
58.57,48.04,0.33,95,0.51,90
7.19,50.13,0.78,107,0.47,90
28.39,52.38,0.63,99,0.53,90
39,10.91,0.11,460,0.02,90
54.45,27.45,0.21,171,0.16,90
39.7,12.13,0.12,413,0.03,90
47.41,15.25,0.13,319,0.05,90
5.28,19.73,0.31,273,0.07,90
59.1,38.09,0.26,119,0.32,90
38.32,58.83,0.6,86,0.68,90
77.67,16.83,0.06,197,0.09,90
41.83,25.55,0.25,195,0.13,90
55.44,39.34,0.29,119,0.33,90
6,52.6,0.82,102,0.52,90
3.34,54.67,0.88,99,0.55,90
9.02,37.72,0.57,142,0.27,90
46.48,18.2,0.16,268,0.07,90
56.94,35.55,0.26,130,0.27,90
45.56,40.56,0.37,121,0.34,90
37.52,36.62,0.38,138,0.27,90
76.54,33.9,0.13,102,0.33,90
69.82,43.63,0.22,92,0.47,90
55.32,34.77,0.26,134,0.26,90
1.24,36.76,0.61,147,0.25,90
72.62,38.65,0.18,99,0.39,90
79.49,25.67,0.09,120,0.21,90
58.79,31.33,0.22,146,0.21,90
61.43,39.64,0.25,113,0.35,90
66.89,59.63,0.33,71,0.84,90
44.11,26.3,0.24,188,0.14,90
30.27,57.89,0.67,89,0.65,90
21.68,11.38,0.15,461,0.02,90
57.2,11.78,0.08,391,0.03,90
11.59,31.44,0.46,170,0.18,90
61.13,42.1,0.27,106,0.4,90
8.76,41.78,0.64,128,0.33,90
41.24,47.74,0.47,105,0.45,90
40.15,33.37,0.33,150,0.22,90
79.84,45.5,0.15,67,0.68,90
62.19,39.6,0.25,112,0.35,90
35.31,38.16,0.41,133,0.29,90
73.69,33.27,0.15,112,0.3,90
3.74,19.47,0.31,277,0.07,90
37.24,42.9,0.45,118,0.36,90
2.52,41.52,0.67,130,0.32,90
31.36,53.51,0.61,96,0.56,90
14.64,18.38,0.26,289,0.06,90
41.13,25.91,0.25,193,0.13,90
30.49,56.76,0.66,91,0.62,90
76.71,10.66,0.04,322,0.03,90
0.45,28.32,0.47,191,0.15,90
50.78,20.8,0.17,230,0.09,90
71.39,54.8,0.26,72,0.76,90
0.92,29.86,0.49,181,0.16,90
26.81,32.9,0.4,158,0.21,90
26.48,52.25,0.64,100,0.52,90
78.49,21.89,0.08,147,0.15,90
56.7,23.33,0.17,198,0.12,90
7.38,32.3,0.5,166,0.19,90
40.04,57.54,0.57,87,0.66,90
52.76,16.36,0.13,290,0.06,90
37.44,52.19,0.54,97,0.54,90
66.26,31.04,0.17,137,0.23,90
29.27,42.54,0.5,122,0.35,90
39.24,52.79,0.53,95,0.56,90
45.4,45.69,0.42,108,0.42,90
13.94,42.98,0.62,124,0.35,90
59.48,33.54,0.23,135,0.25,90
75.59,16.06,0.07,221,0.07,90
29.42,25.31,0.3,204,0.12,90
18.25,58.25,0.79,91,0.64,90
74.95,54.06,0.23,67,0.81,90
68.48,55.77,0.29,74,0.75,90
20.66,21.26,0.28,247,0.09,90
73.42,56.01,0.25,67,0.84,90
79.33,52.07,0.18,60,0.87,90
13.22,22.29,0.32,239,0.09,90
36.3,26.4,0.28,192,0.14,90
36.45,31.84,0.34,159,0.2,90
63.8,13.61,0.08,320,0.04,90
2.43,17.38,0.28,310,0.06,90
46.08,50.29,0.45,98,0.51,90
52.87,53.64,0.42,89,0.6,90
17.03,56.29,0.78,94,0.6,90
19.99,49.41,0.66,107,0.46,90
0.77,49.76,0.82,109,0.46,90
43.06,54.59,0.52,91,0.6,90
39.33,26.4,0.27,190,0.14,90
59.37,10.79,0.07,420,0.03,90
17.35,41.09,0.57,129,0.32,90
33.42,53.9,0.6,95,0.57,90
78.14,11.29,0.04,289,0.04,90
42.74,39.33,0.38,126,0.31,90
42.63,10.96,0.1,452,0.02,90
61.91,14.13,0.09,314,0.05,90
66.68,27.47,0.15,153,0.18,90
50.89,16.65,0.14,287,0.06,90
14.81,40.03,0.57,133,0.3,90
10.9,45.19,0.67,118,0.38,90
74.54,14.51,0.06,252,0.06,90
39.75,25.79,0.26,194,0.13,90
38.36,22.29,0.23,226,0.1,90
34.82,42.5,0.46,120,0.35,90
30.36,20.44,0.24,252,0.08,90
27.29,41.65,0.5,125,0.33,90
43.14,17.7,0.17,280,0.06,90
20.64,54.31,0.72,97,0.56,90
66.48,15.66,0.09,269,0.06,90
2.83,34.12,0.55,158,0.22,90
8.73,46.49,0.71,115,0.4,90
68.92,55.53,0.29,74,0.75,90
18.7,55.81,0.76,95,0.59,90
72.27,20.8,0.1,185,0.11,90
52.13,23.4,0.19,203,0.12,90
76.42,21.04,0.08,165,0.13,90
34.14,13.49,0.15,378,0.04,90
74,20.19,0.09,183,0.11,90
13.55,27.3,0.39,195,0.14,90
73.03,35.34,0.16,107,0.33,90
70.25,30.35,0.15,132,0.23,90
53.74,43.42,0.33,109,0.4,90
5.21,23.83,0.38,226,0.11,90
55.66,33.25,0.25,140,0.24,90
57.53,48.79,0.35,95,0.51,90
2.48,14.81,0.24,364,0.04,90
70.14,52.14,0.26,77,0.68,90
4.54,32.84,0.52,164,0.2,90
12.57,20.22,0.29,263,0.08,90
6.37,56.77,0.89,95,0.6,90
30.16,53.4,0.62,97,0.55,90
68.28,30.87,0.16,134,0.23,90
19.09,21.07,0.28,250,0.08,90
14.84,56.17,0.8,95,0.59,90
66.41,29.39,0.16,144,0.2,90
18.82,11.51,0.16,458,0.03,90
63.66,34.56,0.21,126,0.27,90
42.25,44.59,0.43,112,0.4,90
30.71,41.96,0.48,123,0.34,90
12.13,47.21,0.69,113,0.42,90
59.05,37.37,0.26,122,0.31,90
25.7,12.18,0.15,427,0.03,90
10.37,10.19,0.15,523,0.02,90
24.41,30.98,0.39,169,0.18,90
65.67,46.33,0.27,92,0.5,90
78.72,37.19,0.13,86,0.43,90
35.39,29.57,0.32,172,0.17,90
65.64,24.05,0.14,177,0.14,90
47.87,17.71,0.15,274,0.06,90
2.93,54.81,0.89,99,0.55,90
64.61,12.83,0.08,336,0.04,90
50.2,33.78,0.28,142,0.24,90
60.27,19.53,0.13,230,0.08,90
58.89,40.02,0.27,114,0.35,90
43.62,15.54,0.15,318,0.05,90
76.39,58.38,0.23,60,0.97,90
51.31,23.76,0.19,201,0.12,90
38.32,26.19,0.27,192,0.14,90
69.59,40.94,0.21,99,0.41,90
69.02,13.16,0.07,309,0.04,90
63.16,52.06,0.32,84,0.62,90
59.81,28.65,0.19,158,0.18,90
0.79,11.9,0.2,454,0.03,90
71.54,42.85,0.2,91,0.47,90
49.66,58.74,0.49,82,0.72,90
28.52,27.75,0.33,186,0.15,90
42.61,38.63,0.37,129,0.3,90
56.06,29.93,0.22,155,0.19,90
15.75,38.93,0.55,136,0.29,90
35.11,59.74,0.65,85,0.7,90
58.63,10.2,0.07,447,0.02,90
53.83,41.8,0.32,113,0.37,90
39.66,12.67,0.13,396,0.03,90
32.96,43.05,0.48,119,0.36,90
18.15,48.77,0.67,109,0.45,90
9.07,18.94,0.29,282,0.07,90
73.93,36.29,0.16,102,0.36,90
50.1,29.65,0.25,162,0.18,90
12.6,38.71,0.56,138,0.28,90
34.03,54.61,0.6,94,0.58,90
75.55,48.74,0.2,73,0.67,90
21.75,59.44,0.78,89,0.67,90
8.89,34.61,0.53,155,0.22,90
38.98,36.43,0.37,138,0.26,90
6.18,33.75,0.53,159,0.21,90
4.74,30.35,0.48,177,0.17,90
23.88,54.49,0.69,96,0.57,90
1.85,24.64,0.4,219,0.11,90
16.42,12.26,0.17,431,0.03,90
77.84,14.24,0.05,232,0.06,90
45.51,10.84,0.1,452,0.02,90
73,25.38,0.11,149,0.17,90
30.21,29.42,0.34,175,0.17,90
42.5,56.64,0.54,88,0.64,90
48.61,42.67,0.37,114,0.37,90
41.02,30.51,0.3,164,0.19,90
0.87,56.76,0.94,96,0.59,90
1.26,11.29,0.19,478,0.02,90
45.92,20.87,0.19,235,0.09,90
15.17,16.83,0.24,315,0.05,90
2.71,57.42,0.93,94,0.61,90
60.14,21,0.14,215,0.1,90
36.56,49.31,0.52,103,0.48,90
1.44,43.26,0.71,125,0.35,90
39.1,38.35,0.39,131,0.29,90
66.13,12.66,0.07,335,0.04,90
40.19,37.86,0.38,132,0.29,90
33.44,42.45,0.47,121,0.35,90
59.32,53.45,0.36,85,0.63,90
18.21,16.13,0.22,327,0.05,90
12.79,38.84,0.56,137,0.28,90
35.39,40.98,0.44,124,0.33,90
60.48,27.24,0.18,165,0.17,90
0.85,56.32,0.93,96,0.59,90
47.28,47.94,0.42,102,0.47,90
70.35,36.69,0.18,109,0.34,90
70.72,13.69,0.07,289,0.05,90
57.42,16.26,0.12,283,0.06,90
42.79,13.7,0.13,362,0.04,90
66.55,27.28,0.15,155,0.18,90
11.88,31.41,0.46,170,0.18,90
43,13.53,0.13,366,0.04,90
31.67,35.82,0.41,143,0.25,90
8.58,54.39,0.83,99,0.55,90
60.39,29.4,0.19,153,0.19,90
77.33,11.71,0.04,287,0.04,90
47.13,49.97,0.44,98,0.51,90
5.84,27.12,0.43,198,0.14,90
67.58,18.58,0.1,224,0.08,90
40.42,11.15,0.11,448,0.02,90
19.52,49.65,0.67,106,0.47,90
26.51,15.62,0.19,332,0.05,90
59.73,38.26,0.26,118,0.32,90
41.37,53.4,0.52,94,0.57,90
2.48,40.67,0.66,133,0.31,90
36.56,47.15,0.5,108,0.44,90
58.17,14.18,0.1,322,0.04,90
74.62,56.39,0.24,65,0.87,90
48.87,52.25,0.45,93,0.56,90
51.81,32.37,0.26,147,0.22,90
14.36,40.41,0.58,132,0.31,90
20.71,30.13,0.4,175,0.17,90
76.82,32.02,0.12,107,0.3,90
37.97,25.09,0.26,201,0.12,90
27.33,39.13,0.47,133,0.29,90
47.56,47.56,0.42,103,0.46,90
41.51,13.28,0.13,375,0.04,90
57.95,44.12,0.31,104,0.42,90
13.12,31.69,0.46,168,0.19,90
48.95,47.48,0.4,102,0.47,90
21.97,22.57,0.29,232,0.1,90
34.99,32.88,0.36,155,0.21,90
26.77,55.06,0.67,95,0.58,90
67.4,55.13,0.3,76,0.73,90
18.07,37.33,0.51,142,0.26,90
33.13,17.11,0.19,299,0.06,90
68.81,12.97,0.07,315,0.04,90
27.43,30.39,0.37,171,0.18,90
67.96,31.26,0.17,133,0.24,90
21.36,24.41,0.32,215,0.11,90
25.03,59.08,0.74,89,0.66,90
60.15,43.22,0.29,104,0.42,90
4.42,16.26,0.26,331,0.05,90
38.57,35.34,0.36,143,0.25,90
51.7,33.32,0.27,143,0.23,90
68.23,51.68,0.27,80,0.65,90
71.98,44.28,0.21,88,0.5,90
48.13,14.92,0.13,325,0.05,90
17.13,36.62,0.51,145,0.25,90
34.57,10.19,0.11,499,0.02,90
68.78,30.15,0.16,136,0.22,90
65.22,31.99,0.19,134,0.24,90
61.46,34.26,0.22,130,0.26,90
64.45,58.33,0.35,74,0.79,90
15.41,24.04,0.34,221,0.11,90
64.57,22.12,0.13,195,0.11,90
11.24,20.59,0.3,259,0.08,90
60.85,46.99,0.31,96,0.49,90
52.14,38.82,0.31,123,0.32,90
35.71,57.92,0.62,88,0.66,90
76.71,58.87,0.23,59,1,90
2.42,27.76,0.45,194,0.14,90
76.91,24.95,0.1,137,0.18,90
21.62,58.58,0.77,90,0.65,90
2.2,52.82,0.86,102,0.52,90
50.3,25.97,0.22,185,0.14,90
9.57,28.76,0.43,186,0.15,90
63.46,31.65,0.19,138,0.23,90
34.22,55.33,0.61,92,0.6,90
33.67,28.03,0.31,182,0.15,90
19.08,29.03,0.39,182,0.16,90
24.42,53.26,0.67,98,0.54,90
69.15,17.01,0.09,239,0.07,90
72.1,29.83,0.14,130,0.23,90
5.5,42.01,0.66,128,0.33,90
5.79,31.35,0.49,172,0.18,90
56.88,50.46,0.36,92,0.55,90
37.93,49.19,0.51,103,0.48,90
69.65,17.75,0.09,227,0.08,90
28.86,43.72,0.52,118,0.37,90
13.34,39,0.56,137,0.28,90
73.99,30.26,0.13,123,0.25,90
56.62,22.39,0.16,207,0.11,90
19.02,11.98,0.16,440,0.03,90
59.11,11.18,0.08,406,0.03,90
38.03,31.43,0.32,161,0.2,90
9.64,19.7,0.3,271,0.07,90
36.11,13.51,0.14,375,0.04,90
46.95,20.88,0.18,234,0.09,90
19.28,21.14,0.28,249,0.08,90
27.18,20.28,0.25,256,0.08,90
62.49,51.36,0.32,86,0.6,90
9.2,12.94,0.2,413,0.03,90
25.37,45.73,0.57,114,0.4,90
76.87,46.5,0.18,74,0.63,90
12.49,33.52,0.49,159,0.21,90
13.3,50.3,0.73,106,0.47,90
6.23,46.05,0.72,117,0.39,90
46.32,56.65,0.51,87,0.65,90
42.54,40.49,0.39,123,0.33,90
1.31,54.27,0.89,100,0.54,90
44.98,48.34,0.44,102,0.47,90
54,29.68,0.23,159,0.19,90
2.65,20.33,0.33,265,0.08,90
68.88,46.56,0.24,88,0.53,90
66.78,16.73,0.09,251,0.07,90
65.66,43.45,0.25,98,0.44,90
8.01,18.19,0.28,294,0.06,90
49.14,55.81,0.47,87,0.64,90
36.64,10.37,0.11,488,0.02,90
65.67,54.54,0.31,78,0.7,90
50.45,56.36,0.47,85,0.66,90
2.71,56.94,0.92,95,0.6,90
45.95,57.83,0.52,85,0.68,90
1.65,20.2,0.33,267,0.08,90
17.28,13.31,0.18,397,0.03,90
32.92,37.71,0.42,136,0.28,90
75.88,59.45,0.24,60,0.99,90
48.22,50.57,0.44,96,0.53,90
58.85,14.39,0.1,316,0.05,90
41.89,27.32,0.26,182,0.15,90
58.48,57.78,0.4,79,0.73,90
41.74,42.16,0.41,118,0.36,90
2.13,49.91,0.81,108,0.46,90
72.16,25.96,0.12,149,0.17,90
47.38,40.23,0.35,121,0.33,90
23.07,44.66,0.57,117,0.38,90
11.68,18.53,0.27,288,0.06,90
23.75,13.53,0.17,386,0.04,90
53.94,51.09,0.39,92,0.56,90
63.46,30.17,0.18,145,0.21,90
75.04,42.93,0.18,84,0.51,90
18.07,38.61,0.53,137,0.28,90
25.53,35.49,0.44,147,0.24,90
25.66,54.76,0.68,95,0.58,90
21.86,45.92,0.6,114,0.4,90
78.74,42.26,0.15,76,0.56,90
36.06,48.58,0.52,105,0.46,90
60.39,22.3,0.15,202,0.11,90
20.22,25.5,0.34,206,0.12,90
16.94,53.73,0.74,99,0.54,90
22.48,11.9,0.15,440,0.03,90
77.69,11.06,0.04,300,0.04,90
78.88,18.44,0.06,172,0.11,90
54.22,23.87,0.18,197,0.12,90
51.27,14.97,0.12,319,0.05,90
38.93,31.17,0.32,161,0.19,90
20.24,34.24,0.46,154,0.22,90
45.67,10.8,0.1,454,0.02,90
23.44,25.99,0.33,201,0.13,90
26.68,19.72,0.24,263,0.07,90
79.57,42.82,0.15,72,0.59,90
66.75,52.06,0.29,81,0.64,90
18.04,59.49,0.81,89,0.67,90
56.8,34.53,0.25,134,0.26,90
33.35,54.02,0.6,95,0.57,90
13.2,48.57,0.7,110,0.44,90
38.78,29.26,0.3,172,0.17,90
58.78,55.19,0.38,83,0.66,90
39.02,19.43,0.2,259,0.08,90
78.93,46.23,0.16,69,0.67,90
60.6,54.1,0.36,83,0.65,90
5.26,31.8,0.5,169,0.19,90
20.28,46.25,0.61,114,0.41,90
59.57,41.26,0.28,110,0.38,90
54.76,45.43,0.34,103,0.44,90
68.1,41.11,0.22,101,0.41,90
47.04,44.6,0.39,110,0.41,90
50.3,44.26,0.37,109,0.41,90
65.15,48.07,0.28,90,0.53,90
36.78,51.57,0.54,98,0.53,90
27.25,27.83,0.34,186,0.15,90
9.63,42.53,0.64,126,0.34,90
69.26,22.7,0.12,179,0.13,90
49.75,45.2,0.38,107,0.42,90
73.29,16.63,0.07,226,0.07,90
21.19,38.87,0.51,135,0.29,90
21.2,20.43,0.27,257,0.08,90
41.39,38.56,0.38,130,0.3,90
78,34.39,0.13,96,0.36,90
73.9,17.62,0.08,211,0.08,90
23.39,34.85,0.45,150,0.23,90
40.35,13.05,0.13,383,0.03,90
48.04,10.72,0.09,453,0.02,90
18.67,31.07,0.42,170,0.18,90
38.04,59.87,0.62,85,0.7,90
72.89,32.48,0.15,117,0.28,90
79.99,10.25,0.03,293,0.03,90
77.52,36.71,0.14,91,0.4,90
59.9,49.53,0.33,91,0.54,90
66.73,45.23,0.25,93,0.49,90
71.31,17.93,0.09,219,0.08,90
41.07,19.45,0.19,257,0.08,90
55.32,51.01,0.38,92,0.55,90
59.79,27.64,0.19,164,0.17,90
34,14.09,0.15,362,0.04,90
58.87,35.32,0.24,129,0.27,90
59.55,21.29,0.14,213,0.1,90
13.65,37.55,0.54,142,0.26,90
36.58,12.24,0.13,414,0.03,90
30.77,46.99,0.54,110,0.43,90
71.54,51.13,0.24,77,0.66,90
13.67,24.3,0.35,219,0.11,90
60.7,33.75,0.22,133,0.25,90
23.37,51.06,0.65,103,0.5,90
3.13,56.53,0.91,96,0.59,90
77.43,40.38,0.15,83,0.49,90
24.88,39.31,0.49,133,0.3,90
34.17,31.15,0.34,164,0.19,90
53.18,56.8,0.44,84,0.68,90
20.5,33.32,0.44,158,0.21,90
33.15,18.06,0.2,283,0.06,90
1.36,36.88,0.61,147,0.25,90
2.4,44.56,0.72,121,0.37,90
31.78,38.95,0.44,132,0.3,90
69.65,23.86,0.12,169,0.14,90
70.66,20.88,0.1,190,0.11,90
17.95,35.59,0.49,149,0.24,90
45.59,13.27,0.12,369,0.04,90
60.2,32.54,0.22,139,0.23,90
7.36,28.9,0.45,186,0.16,90
4.58,34.34,0.55,157,0.22,90
59.43,42.16,0.29,108,0.39,90
37.62,47.03,0.49,108,0.44,90
41.53,55.44,0.54,90,0.62,90
26.63,14.72,0.18,352,0.04,90
75.21,18.55,0.08,194,0.1,90
7.51,16.86,0.26,318,0.05,90
14.39,45.15,0.64,118,0.38,90
18.42,28.83,0.39,183,0.16,90
45.08,37.01,0.34,133,0.28,90
54.17,36.04,0.28,131,0.28,90
56.07,21.76,0.16,213,0.1,90
75.34,37.81,0.16,95,0.4,90
42.23,26.23,0.25,190,0.14,90
2.61,42.53,0.69,127,0.33,90
47.28,48.75,0.43,100,0.49,90
13.44,29.45,0.42,181,0.16,90
2.63,51.33,0.83,105,0.49,90
37.74,11.94,0.12,422,0.03,90
78.13,40.45,0.15,81,0.5,90
20.37,18.58,0.25,283,0.07,90
4.68,53.25,0.85,101,0.53,90
63.1,40.5,0.25,109,0.37,90
21.62,26.85,0.35,195,0.14,90
63.14,21.73,0.13,202,0.11,90
47.33,55.07,0.48,89,0.62,90
12.09,23.6,0.35,226,0.1,90
75.23,21.61,0.09,166,0.13,90
27.17,29.88,0.36,174,0.17,90
61.1,41.08,0.27,109,0.38,90
16.11,59.53,0.83,89,0.67,90
53.67,28.52,0.22,165,0.17,90
52.36,27.03,0.21,176,0.15,90
47.8,28.59,0.25,170,0.17,90
71.28,51.6,0.25,76,0.68,90
19.49,50.53,0.68,104,0.49,90
23.62,49.5,0.63,106,0.47,90
19.22,27.69,0.37,190,0.15,90
27.16,57.88,0.7,90,0.64,90
31.98,44.03,0.5,117,0.38,90
41.24,57.41,0.56,87,0.66,90
31.68,10.97,0.12,467,0.02,90
58.39,36.01,0.25,127,0.28,90
50.92,12.98,0.11,369,0.04,90
9.69,28.05,0.42,191,0.15,90
21.77,48.86,0.64,108,0.45,90
9.07,49.98,0.76,107,0.47,90
43.98,56.86,0.53,87,0.65,90
46.7,27.99,0.25,175,0.16,90
20.91,29.51,0.39,178,0.17,90
16.83,36.86,0.51,144,0.26,90
66.04,35.52,0.2,120,0.3,90
40.71,34.2,0.34,146,0.23,90
18.7,45.38,0.61,116,0.39,90
66.66,44.21,0.25,96,0.46,90
16.83,38.28,0.53,138,0.28,90
69.24,11.27,0.06,360,0.03,90
63.49,41.82,0.25,105,0.4,90
58.6,34.47,0.24,133,0.26,90
25.42,25.59,0.32,204,0.13,90
56.95,41.71,0.3,111,0.38,90
56.27,32.29,0.24,144,0.22,90
26.48,18.51,0.23,280,0.07,90
77.05,59.9,0.23,57,1.05,90
75.48,38.7,0.16,92,0.42,90
47,49.2,0.43,99,0.5,90
43.22,50.67,0.48,98,0.52,90
46.01,55.24,0.5,89,0.62,90
1.73,28.8,0.47,188,0.15,90
22.85,42.49,0.55,123,0.35,90
63.17,48.27,0.3,91,0.53,90
32.21,49.16,0.56,105,0.47,90
